consensus_rank,ship_type,reporting_year,report_scope,imo_number,ship_name,efficiency_label_distance,consensus_score,flags_1pct,at_least_two_1pct,all_three_1pct,flags_2pct,at_least_two_2pct,all_three_2pct,flags_5pct,at_least_two_5pct,all_three_5pct
1,Passenger ship,2023,annual_er,9273727,BIRKA GOTLAND,inefficient,1.000000,3,true,true,3,true,true,3,true,true
2,General cargo ship,2024,full_er,9469780,PACIFIC INTEGRITY,inefficient,0.999844,3,true,true,3,true,true,3,true,true
3,Bulk carrier,2024,full_er,9403138,EURO BAND,efficient,0.999828,3,true,true,3,true,true,3,true,true
4,Bulk carrier,2018,annual_er,9742209,STELLA HOPE,inefficient,0.999523,3,true,true,3,true,true,3,true,true
5,Container ship,2023,annual_er,9775737,VISTULA MAERSK,efficient,0.999438,3,true,true,3,true,true,3,true,true
6,Bulk carrier,2024,full_er,9498236,SUNDA,inefficient,0.999391,3,true,true,3,true,true,3,true,true
7,General cargo ship,2019,annual_er,9763837,AUDAX,inefficient,0.999336,3,true,true,3,true,true,3,true,true
8,Ro-pax ship,2023,annual_er,8919805,SILJA EUROPA,inefficient,0.999283,3,true,true,3,true,true,3,true,true
9,General cargo ship,2020,annual_er,8972259,LEONID ZAYAKIN,efficient,0.999258,3,true,true,3,true,true,3,true,true
10,LNG carrier,2024,full_er,9239616,EXCELSIOR,inefficient,0.999225,3,true,true,3,true,true,3,true,true
11,General cargo ship,2024,full_er,9356957,VUSAL MAHARRAMOV,inefficient,0.999180,3,true,true,3,true,true,3,true,true
12,Oil tanker,2024,full_er,9853852,NISSOS KYTHNOS,inefficient,0.999124,3,true,true,3,true,true,3,true,true
13,Bulk carrier,2024,full_er,9590852,BERGE MCCLINTOCK,inefficient,0.999087,3,true,true,3,true,true,3,true,true
14,General cargo ship,2018,annual_er,9228394,ATALANTA,inefficient,0.998946,3,true,true,3,true,true,3,true,true
15,General cargo ship,2022,annual_er,9697337,TIMGAD,inefficient,0.998946,3,true,true,3,true,true,3,true,true
16,Bulk carrier,2023,annual_er,9479058,IKAN SELIGI,inefficient,0.998822,3,true,true,3,true,true,3,true,true
17,Ro-pax ship,2024,full_er,9237589,ROMANTIKA,inefficient,0.998685,3,true,true,3,true,true,3,true,true
18,Oil tanker,2022,annual_er,9222132,GLADIATOR,inefficient,0.998473,3,true,true,3,true,true,3,true,true
19,Other ship types,2019,annual_er,9621704,PACIFIC OSPREY,inefficient,0.998402,3,true,true,3,true,true,3,true,true
20,Oil tanker,2020,annual_er,9229013,LUCY PG,inefficient,0.998373,3,true,true,3,true,true,3,true,true
21,Oil tanker,2024,full_er,9312444,PRESIDENT I,inefficient,0.998373,3,true,true,3,true,true,3,true,true
22,Oil tanker,2024,full_er,9445461,OLYMPIC TROPHY,inefficient,0.998373,3,true,true,3,true,true,3,true,true
23,Gas carrier,2021,annual_er,9131539,GAZ LIBERTY,inefficient,0.998298,3,true,true,3,true,true,3,true,true
24,LNG carrier,2023,annual_er,9230048,SEAPEAK HISPANIA,inefficient,0.998295,3,true,true,3,true,true,3,true,true
25,Oil tanker,2018,annual_er,9240201,PETROPORT,inefficient,0.998197,3,true,true,3,true,true,3,true,true
26,Bulk carrier,2024,full_er,9591686,DARYA GAYATRI,inefficient,0.998001,3,true,true,3,true,true,3,true,true
27,Oil tanker,2021,annual_er,9145413,ICARUS III,inefficient,0.997922,3,true,true,3,true,true,3,true,true
28,Bulk carrier,2020,annual_er,9785603,FARAH LOUISE,efficient,0.997842,3,true,true,3,true,true,3,true,true
29,Bulk carrier,2019,annual_er,9782314,ILEKTRA,inefficient,0.997803,3,true,true,3,true,true,3,true,true
30,Vehicle carrier,2019,annual_er,9777802,BELUGA ACE,efficient,0.997597,3,true,true,3,true,true,3,true,true
