ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
Passenger ship,2023,annual_er,test,9273727,BIRKA GOTLAND,EIV,14.92,688.84,240013.94,2208.42,769484.32,3.82,inefficient,1.000000,0.702963,1.000000,5.092124,1.000000,3589.959953,5.367302,348.123994,1.000000,1.000000,1.000000,3,true,true,true,co2_per_distance_kg_nm:high:z=11.61; fuel_per_distance_kg_nm:high:z=11.52; time_spent_at_sea_hours:low:z=11.25,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=11.61; fuel_per_distance_kg_nm:high:z=11.52; time_spent_at_sea_hours:low:z=11.25
General cargo ship,2024,full_er,external_2024,9469780,PACIFIC INTEGRITY,EIV,12.81,16.62,4616.67,51.90924,14419.23,1.65,inefficient,1.000000,0.741914,1.000000,5.534669,0.999649,1175.842172,2.505797,316.002404,0.999883,0.999844,0.999988,3,true,true,true,co2_per_distance_kg_nm:high:z=10.51; fuel_per_distance_kg_nm:high:z=10.43; time_spent_at_sea_hours:low:z=8.39,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=10.51; fuel_per_distance_kg_nm:high:z=10.43; time_spent_at_sea_hours:low:z=8.39
Bulk carrier,2024,full_er,external_2024,9403138,EURO BAND,EIV,5.11,0.13438,0.51,0.43082,1.63,26.3,efficient,0.000248,0.743261,0.999722,7.328703,0.999921,84.078128,-3.476586,423.731936,0.999841,0.999828,0.999977,3,true,true,true,co2_per_distance_kg_nm:low:z=19.17; fuel_per_distance_kg_nm:low:z=16.87; total_co2_emissions_mt:low:z=11.38,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=19.17; fuel_per_distance_kg_nm:low:z=16.87; total_co2_emissions_mt:low:z=11.38
Bulk carrier,2018,annual_er,train,9742209,STELLA HOPE,,,98465.2,6645.6,315478.5124,21292.23,1732.5,inefficient,1.000000,0.729734,0.999523,4.309601,0.999246,895.788090,3.167325,386.253295,0.999801,0.999523,0.999965,3,true,true,true,co2_per_distance_kg_nm:high:z=17.78; fuel_per_distance_kg_nm:high:z=17.76; total_co2_emissions_mt:high:z=6.37,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=17.78; fuel_per_distance_kg_nm:high:z=17.76; total_co2_emissions_mt:high:z=6.37
Container ship,2023,annual_er,test,9775737,VISTULA MAERSK,EEDI,13.6,52.61,0.62,163.83,1.94,6206.07,efficient,0.001040,0.715605,0.998698,6.666224,0.999770,88.943585,-3.420773,399.568831,0.999847,0.999438,0.999953,3,true,true,true,co2_per_distance_kg_nm:low:z=7.82; fuel_per_distance_kg_nm:low:z=7.01; total_co2_emissions_mt:low:z=4.79,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.82; fuel_per_distance_kg_nm:low:z=7.01; total_co2_emissions_mt:low:z=4.79
Bulk carrier,2024,full_er,external_2024,9498236,SUNDA,EIV,7.91,287.62,287620,895.72228,895722.28,1,inefficient,1.000000,0.706616,0.998769,4.961409,0.999404,1799.903824,6.209343,757.117631,1.000000,0.999391,0.999942,3,true,true,true,fuel_per_distance_kg_nm:high:z=33.31; co2_per_distance_kg_nm:high:z=33.14; time_spent_at_sea_hours:low:z=9.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=33.31; co2_per_distance_kg_nm:high:z=33.14; time_spent_at_sea_hours:low:z=9.40
General cargo ship,2019,annual_er,train,9763837,AUDAX,EIV,41.84,980.33,2478.71,3142.94,7946.75,55.78,inefficient,1.000000,0.696850,0.998946,4.720623,0.999297,1269.129794,1.833770,231.273891,0.999766,0.999336,0.999930,3,true,true,true,co2_per_distance_kg_nm:high:z=9.08; fuel_per_distance_kg_nm:high:z=8.94; time_spent_at_sea_hours:low:z=4.60,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=9.08; fuel_per_distance_kg_nm:high:z=8.94; time_spent_at_sea_hours:low:z=4.60
Ro-pax ship,2023,annual_er,test,8919805,SILJA EUROPA,EIV,2.32,3317.49,25724.95,9437.28,73179.9,13.08,inefficient,1.000000,0.707140,0.998566,4.891074,0.999641,6305.362440,2.451375,202.982542,0.999641,0.999283,0.999919,3,true,true,true,time_spent_at_sea_hours:low:z=14.05; fuel_per_distance_kg_nm:high:z=13.25; co2_per_distance_kg_nm:high:z=12.99,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=14.05; fuel_per_distance_kg_nm:high:z=13.25; co2_per_distance_kg_nm:high:z=12.99
General cargo ship,2020,annual_er,train,8972259,LEONID ZAYAKIN,EIV,15.34,22.12,2.79,70.9167,8.93,1051,efficient,0.000816,0.695302,0.998711,5.126687,0.999414,60.554653,-1.824365,229.939796,0.999649,0.999258,0.999907,3,true,true,true,co2_per_distance_kg_nm:low:z=7.05; fuel_per_distance_kg_nm:low:z=6.60; total_co2_emissions_mt:low:z=5.66,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.05; fuel_per_distance_kg_nm:low:z=6.60; total_co2_emissions_mt:low:z=5.66
LNG carrier,2024,full_er,external_2024,9239616,EXCELSIOR,EEXI,7.59,846.08,5603.18,2712.53248,17963.79,17.33,inefficient,1.000000,0.710424,0.998605,5.683347,0.999535,3423.719746,1.657394,65.934033,0.999535,0.999225,0.999895,3,true,true,true,fuel_per_distance_kg_nm:high:z=8.10; co2_per_distance_kg_nm:high:z=7.95; time_spent_at_sea_hours:low:z=5.83,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=8.10; co2_per_distance_kg_nm:high:z=7.95; time_spent_at_sea_hours:low:z=5.83
General cargo ship,2024,full_er,external_2024,9356957,VUSAL MAHARRAMOV,EEXI,13.88,63.68948,1119.52,200.70727,3527.99,32.13,inefficient,0.999259,0.715108,0.999531,3.605706,0.998477,1362.749847,0.950774,119.946680,0.999531,0.999180,0.999884,3,true,true,true,co2_per_distance_kg_nm:high:z=7.12; fuel_per_distance_kg_nm:high:z=7.04; time_spent_at_sea_hours:low:z=5.26,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=7.12; fuel_per_distance_kg_nm:high:z=7.04; time_spent_at_sea_hours:low:z=5.26
Oil tanker,2024,full_er,external_2024,9853852,NISSOS KYTHNOS,EEXI,2.04,381.2,63217.25,1206.3492,200057.91,0.38,inefficient,1.000000,0.721128,0.998873,4.001532,0.998648,6956.144286,3.358843,500.874358,0.999850,0.999124,0.999872,3,true,true,true,fuel_per_distance_kg_nm:high:z=18.08; co2_per_distance_kg_nm:high:z=18.04; time_spent_at_sea_hours:low:z=8.88,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=18.08; co2_per_distance_kg_nm:high:z=18.04; time_spent_at_sea_hours:low:z=8.88
Bulk carrier,2024,full_er,external_2024,9590852,BERGE MCCLINTOCK,EEXI,2.37,31.5,7875,100.989,25247.25,3.1,inefficient,0.999504,0.755782,1.000000,2.664554,0.997538,1699.935355,2.697579,328.984679,0.999722,0.999087,0.999860,3,true,true,true,co2_per_distance_kg_nm:high:z=18.48; fuel_per_distance_kg_nm:high:z=18.46; time_spent_at_sea_hours:low:z=8.35,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=18.48; fuel_per_distance_kg_nm:high:z=18.46; time_spent_at_sea_hours:low:z=8.35
General cargo ship,2018,annual_er,train,9228394,ATALANTA,,0,25.18,172.47,80.0913,548.57,128.16,inefficient,0.995675,0.723342,0.999649,3.735442,0.998829,794.183920,-0.369437,46.504080,0.998360,0.998946,0.999837,3,true,true,true,technical_efficiency_value:low:z=7.28; total_co2_emissions_mt:low:z=5.49; total_fuel_consumption_mt:low:z=5.46,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are technical_efficiency_value:low:z=7.28; total_co2_emissions_mt:low:z=5.49; total_fuel_consumption_mt:low:z=5.46
General cargo ship,2022,annual_er,validation,9697337,TIMGAD,EEDI,10.2,388.99,8103.96,1247.11,25981.46,34.1,inefficient,1.000000,0.676252,0.997072,5.820545,0.999766,1362.749847,2.947184,371.651899,1.000000,0.998946,0.999849,3,true,true,true,co2_per_distance_kg_nm:high:z=11.94; fuel_per_distance_kg_nm:high:z=11.78; time_spent_at_sea_hours:low:z=5.19,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=11.94; fuel_per_distance_kg_nm:high:z=11.78; time_spent_at_sea_hours:low:z=5.19
