scenario,feature_set,model,split,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_efficient,recall_medium,recall_inefficient
temporal,strict_static,logistic_regression,validation_2022,13050,0.430958,0.430944,0.426818,0.426832,0.491732,0.310646,0.490453
temporal,strict_static,logistic_regression,test_2023,12615,0.429409,0.429319,0.418219,0.418257,0.609976,0.269267,0.408712
temporal,strict_static,logistic_regression,external_2024,12905,0.413406,0.413183,0.400337,0.400406,0.620306,0.259233,0.360009
temporal,strict_static,random_forest,validation_2022,13050,0.614483,0.614440,0.607458,0.607476,0.747129,0.430214,0.665977
temporal,strict_static,random_forest,test_2023,12615,0.566944,0.566903,0.555572,0.555600,0.699050,0.345147,0.656510
temporal,strict_static,random_forest,external_2024,12905,0.560170,0.560229,0.549834,0.549803,0.677561,0.347503,0.655623
temporal,strict_static,hist_gradient_boosting,validation_2022,13050,0.673103,0.673088,0.671102,0.671117,0.739550,0.542883,0.736830
temporal,strict_static,hist_gradient_boosting,test_2023,12615,0.602933,0.602854,0.601444,0.601485,0.748694,0.496670,0.563199
temporal,strict_static,hist_gradient_boosting,external_2024,12905,0.582100,0.581889,0.580479,0.580558,0.739221,0.493612,0.512832
temporal,operational_no_emission,logistic_regression,validation_2022,13050,0.424904,0.424892,0.418791,0.418804,0.488287,0.281214,0.505176
temporal,operational_no_emission,logistic_regression,test_2023,12615,0.424495,0.424416,0.417497,0.417529,0.575297,0.303045,0.394906
temporal,operational_no_emission,logistic_regression,external_2024,12905,0.412088,0.411840,0.403191,0.403278,0.593185,0.313589,0.328745
temporal,operational_no_emission,random_forest,validation_2022,13050,0.620077,0.620034,0.612867,0.612884,0.753790,0.431823,0.674488
temporal,operational_no_emission,random_forest,test_2023,12615,0.573207,0.573166,0.559537,0.559564,0.709501,0.332540,0.677458
temporal,operational_no_emission,random_forest,external_2024,12905,0.561488,0.561522,0.549593,0.549570,0.698656,0.336353,0.649557
temporal,operational_no_emission,hist_gradient_boosting,validation_2022,13050,0.665977,0.665959,0.663215,0.663232,0.740239,0.525178,0.732459
temporal,operational_no_emission,hist_gradient_boosting,test_2023,12615,0.604994,0.604923,0.603196,0.603233,0.745131,0.485014,0.584623
temporal,operational_no_emission,hist_gradient_boosting,external_2024,12905,0.586904,0.586704,0.585118,0.585194,0.742930,0.492451,0.524732
random_stratified,strict_static,logistic_regression,random_test,14609,0.439797,0.439817,0.431264,0.431268,0.485234,0.273773,0.560444
random_stratified,strict_static,random_forest,random_test,14609,0.608666,0.608619,0.598839,0.598851,0.754102,0.396591,0.675164
random_stratified,strict_static,hist_gradient_boosting,random_test,14609,0.660141,0.660115,0.656911,0.656933,0.753281,0.512836,0.714227
random_stratified,operational_no_emission,logistic_regression,random_test,14609,0.435006,0.435024,0.426132,0.426136,0.483388,0.266379,0.555304
random_stratified,operational_no_emission,random_forest,random_test,14609,0.610925,0.610898,0.601525,0.601537,0.730312,0.402957,0.699424
random_stratified,operational_no_emission,hist_gradient_boosting,random_test,14609,0.658019,0.657998,0.654584,0.654602,0.746719,0.505648,0.721628
