normalized_field,sheet_count,sheets
annual_monitoring_results__additional_information_to_facilitate_the_understanding_of_the_reported_average_operational_energy_efficiency_indicators,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__annual_average_co2_emissions_per_distance,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_co2_emissions_per_transport_work_dwt,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_co2_emissions_per_transport_work_freight,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_co2_emissions_per_transport_work_mass,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_co2_emissions_per_transport_work_pax,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_co2_emissions_per_transport_work_volume,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_distance,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_dwt,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_freight,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_mass,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_pax,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_volume,6,2018; 2019; 2020; 2021; 2022; 2023
annual_monitoring_results__annual_time_spent_at_sea,4,2020; 2021; 2022; 2023
annual_monitoring_results__annual_total_time_spent_at_sea,2,2018; 2019
annual_monitoring_results__average_density_of_the_cargo_transported,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_assigned_to_freight_transport,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_assigned_to_on_laden,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_assigned_to_passenger_transport,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_to_be_reported_under_directive_2003_87_ec,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_which_occurred_within_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__ch4_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_assigned_to_freight_transport,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_assigned_to_on_laden,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_assigned_to_passenger_transport,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction,8,2018; 2019; 2020; 2021; 2022; 2023; 2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_distance,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_distance_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_time_spent_at_sea,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_dwt,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_dwt_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_freight,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_freight_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_mass,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_mass_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_pax,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_pax_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_volume,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_per_transport_work_volume_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2_emissions_to_be_reported_under_directive_2003_87_ec,2,2024 Full ERs; 2024 Partial ERs
