reporting_year,report_scope,temporal_split,ship_type,rows,target_non_missing_rows,labeled_rows,unlabeled_rows,missing_target_rows,below_threshold_target_rows,labeling_status
2018,annual_er,train,Bulk carrier,3846,3479,3479,367,367,0,labeled
2018,annual_er,train,Chemical tanker,1364,1324,1324,40,40,0,labeled
2018,annual_er,train,Combination carrier,10,10,0,10,0,10,below_min_target_rows
2018,annual_er,train,Container ship,1813,1738,1738,75,75,0,labeled
2018,annual_er,train,Container/ro-ro cargo ship,80,80,80,0,0,0,labeled
2018,annual_er,train,Gas carrier,321,309,309,12,12,0,labeled
2018,annual_er,train,General cargo ship,1178,1156,1156,22,22,0,labeled
2018,annual_er,train,LNG carrier,213,209,209,4,4,0,labeled
2018,annual_er,train,Oil tanker,1909,1817,1817,92,92,0,labeled
2018,annual_er,train,Other ship types,126,115,115,11,11,0,labeled
2018,annual_er,train,Passenger ship,159,155,155,4,4,0,labeled
2018,annual_er,train,Refrigerated cargo carrier,146,141,141,5,5,0,labeled
2018,annual_er,train,Ro-pax ship,375,374,374,1,1,0,labeled
2018,annual_er,train,Ro-ro ship,272,272,272,0,0,0,labeled
2018,annual_er,train,Vehicle carrier,448,441,441,7,7,0,labeled
2019,annual_er,train,Bulk carrier,3675,3460,3460,215,215,0,labeled
2019,annual_er,train,Chemical tanker,1363,1349,1349,14,14,0,labeled
2019,annual_er,train,Combination carrier,11,11,0,11,0,11,below_min_target_rows
2019,annual_er,train,Container ship,1852,1816,1816,36,36,0,labeled
2019,annual_er,train,Container/ro-ro cargo ship,76,76,76,0,0,0,labeled
2019,annual_er,train,Gas carrier,343,341,341,2,2,0,labeled
2019,annual_er,train,General cargo ship,1247,1232,1232,15,15,0,labeled
2019,annual_er,train,LNG carrier,257,257,257,0,0,0,labeled
2019,annual_er,train,Oil tanker,2007,1961,1961,46,46,0,labeled
2019,annual_er,train,Other ship types,142,134,134,8,8,0,labeled
2019,annual_er,train,Passenger ship,179,179,179,0,0,0,labeled
2019,annual_er,train,Refrigerated cargo carrier,152,152,152,0,0,0,labeled
2019,annual_er,train,Ro-pax ship,404,403,403,1,1,0,labeled
2019,annual_er,train,Ro-ro ship,277,277,277,0,0,0,labeled
2019,annual_er,train,Vehicle carrier,435,433,433,2,2,0,labeled
2020,annual_er,train,Bulk carrier,3504,3236,3236,268,268,0,labeled
2020,annual_er,train,Chemical tanker,1354,1339,1339,15,15,0,labeled
2020,annual_er,train,Combination carrier,16,16,0,16,0,16,below_min_target_rows
2020,annual_er,train,Container ship,1859,1827,1827,32,32,0,labeled
2020,annual_er,train,Container/ro-ro cargo ship,70,70,70,0,0,0,labeled
