field,role,non_missing,missing,missing_pct,recommended_handling
source_file,metadata,90745,0,0.0000,retain_for_traceability_not_model_feature
sheet,metadata,90745,0,0.0000,retain_for_traceability_not_model_feature
report_scope,metadata,90745,0,0.0000,mode_or_unknown_category
reporting_year,candidate_feature,90745,0,0.0000,mode_or_unknown_category
reporting_period_raw,candidate_feature,90745,0,0.0000,mode_or_unknown_category
is_full_year,candidate_feature,90745,0,0.0000,mode_or_unknown_category
is_main_experiment,metadata,90745,0,0.0000,mode_or_unknown_category
temporal_split,metadata,90745,0,0.0000,mode_or_unknown_category
imo_number,candidate_feature,90745,0,0.0000,retain_for_traceability_not_model_feature
ship_name,candidate_feature,90745,0,0.0000,retain_for_traceability_not_model_feature
ship_type,candidate_feature,90745,0,0.0000,mode_or_unknown_category
technical_efficiency_raw,candidate_feature,89048,1697,0.0187,mode_or_unknown_category
technical_efficiency_type,candidate_feature,88696,2049,0.0226,mode_or_unknown_category
technical_efficiency_value,candidate_feature,85879,4866,0.0536,median_impute_within_train_or_ship_type
technical_efficiency_is_not_applicable,candidate_feature,90745,0,0.0000,use_as_boolean
port_of_registry,candidate_feature,85671,5074,0.0559,mode_or_unknown_category
has_home_port,candidate_feature,90745,0,0.0000,use_as_boolean
has_ice_class,candidate_feature,90745,0,0.0000,use_as_boolean
monitoring_method_a,candidate_feature,44171,46574,0.5132,impute_with_missing_indicator
monitoring_method_b,candidate_feature,28302,62443,0.6881,impute_with_missing_indicator
monitoring_method_c,candidate_feature,30019,60726,0.6692,impute_with_missing_indicator
monitoring_method_d_1,candidate_feature,6,90739,0.9999,drop_or_binarize
monitoring_method_d_2,candidate_feature,0,90745,1.0000,drop_or_binarize
total_fuel_consumption_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
fuel_consumption_on_laden_mt,leakage_or_screening,13264,77481,0.8538,exclude_from_strict_classification_features; allow_for_screening
total_co2_emissions_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
co2_between_ms_ports_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
co2_departed_ms_ports_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
co2_to_ms_ports_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
co2_at_berth_mt,leakage_or_screening,90745,0,0.0000,exclude_from_strict_classification_features; allow_for_screening
co2_within_ports_mt,leakage_or_screening,15102,75643,0.8336,exclude_from_strict_classification_features; allow_for_screening
co2_on_laden_mt,leakage_or_screening,13267,77478,0.8538,exclude_from_strict_classification_features; allow_for_screening
co2_passenger_transport_mt,leakage_or_screening,2782,87963,0.9693,exclude_from_strict_classification_features; allow_for_screening
co2_freight_transport_mt,leakage_or_screening,2753,87992,0.9697,exclude_from_strict_classification_features; allow_for_screening
time_spent_at_sea_hours,candidate_feature,90745,0,0.0000,median_impute_within_train_or_ship_type
distance_through_ice_nm,candidate_feature,6106,84639,0.9327,drop_or_binarize
time_spent_at_sea_through_ice_hours,candidate_feature,6106,84639,0.9327,drop_or_binarize
fuel_per_distance_kg_nm,leakage_or_screening,86987,3758,0.0414,exclude_from_strict_classification_features; allow_for_screening
fuel_per_distance_on_laden_kg_nm,leakage_or_screening,11367,79378,0.8747,exclude_from_strict_classification_features; allow_for_screening
fuel_per_transport_work_mass_g_tnm,leakage_or_screening,72134,18611,0.2051,exclude_from_strict_classification_features; allow_for_screening
fuel_per_transport_work_volume_g_m3nm,leakage_or_screening,2560,88185,0.9718,exclude_from_strict_classification_features; allow_for_screening
fuel_per_transport_work_dwt_g_dwtnm,leakage_or_screening,8928,81817,0.9016,exclude_from_strict_classification_features; allow_for_screening
fuel_per_transport_work_pax_g_paxnm,leakage_or_screening,3962,86783,0.9563,exclude_from_strict_classification_features; allow_for_screening
fuel_per_transport_work_freight_g_tnm,leakage_or_screening,2784,87961,0.9693,exclude_from_strict_classification_features; allow_for_screening
co2_per_distance_kg_nm,leakage_or_screening,86987,3758,0.0414,exclude_from_strict_classification_features; allow_for_screening
co2_per_distance_on_laden_kg_nm,leakage_or_screening,11367,79378,0.8747,exclude_from_strict_classification_features; allow_for_screening
co2_per_transport_work_mass_g_tnm,leakage_or_screening,72134,18611,0.2051,exclude_from_strict_classification_features; allow_for_screening
co2_per_transport_work_volume_g_m3nm,leakage_or_screening,2560,88185,0.9718,exclude_from_strict_classification_features; allow_for_screening
co2_per_transport_work_dwt_g_dwtnm,leakage_or_screening,8928,81817,0.9016,exclude_from_strict_classification_features; allow_for_screening
co2_per_transport_work_pax_g_paxnm,leakage_or_screening,3962,86783,0.9563,exclude_from_strict_classification_features; allow_for_screening
co2_per_transport_work_freight_g_tnm,leakage_or_screening,2784,87961,0.9693,exclude_from_strict_classification_features; allow_for_screening
average_density_cargo_mt_m3,candidate_feature,6,90739,0.9999,drop_or_binarize
distance_efficiency_group_n,candidate_feature,86883,3862,0.0426,median_impute_within_train_or_ship_type
distance_efficiency_rank_pct,candidate_feature,86883,3862,0.0426,median_impute_within_train_or_ship_type
efficiency_label_distance,target,86883,3862,0.0426,drop_unlabeled_rows_for_classification
efficiency_label_distance_code,target,86883,3862,0.0426,drop_unlabeled_rows_for_classification
