file,sheet,reporting_period,scope,column_index,group,raw_field,normalized_field,non_missing,missing_pct,type_counts,sample_value
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,1,Ship,IMO Number,ship__imo_number,12260,0.0000,"{""str"": 12260}",5383304
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,2,Ship,Name,ship__name,12260,0.0000,"{""str"": 12260}",ASTORIA
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,3,Ship,Ship type,ship__ship_type,12260,0.0000,"{""str"": 12260}",Passenger ship
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,4,Ship,Reporting Period,ship__reporting_period,12260,0.0000,"{""float"": 12260}",2018.0
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,5,Ship,Technical efficiency,ship__technical_efficiency,10728,0.1250,"{""str"": 10728}",Not Applicable
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,6,Ship,Port of Registry,ship__port_of_registry,10553,0.1392,"{""str"": 10553}",Madeira
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,7,Ship,Home Port,ship__home_port,2174,0.8227,"{""str"": 2174}",Piraeus
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,8,Ship,Ice Class,ship__ice_class,2023,0.8350,"{""str"": 2023}",IC
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,9,DoC,DoC issue date,doc__doc_issue_date,12260,0.0000,"{""str"": 12260}",05/02/2019
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,10,DoC,DoC expiry date,doc__doc_expiry_date,12260,0.0000,"{""str"": 12260}",30/06/2020
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,11,Verifier,Verifier Number,verifier__verifier_number,3518,0.7131,"{""str"": 3518}",001
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,12,Verifier,Verifier Name,verifier__verifier_name,12260,0.0000,"{""str"": 12260}",ICS Verification Services Single Member P.C.
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,13,Verifier,Verifier NAB,verifier__verifier_nab,12260,0.0000,"{""str"": 12260}",Hellenic Accredidation System
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,14,Verifier,Verifier Address,verifier__verifier_address,12260,0.0000,"{""str"": 12260}","16, Efplias Str. 185 37 Piraeus, Greece"
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,15,Verifier,Verifier City,verifier__verifier_city,12260,0.0000,"{""str"": 12260}",Piraeus
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,16,Verifier,Verifier Accreditation number,verifier__verifier_accreditation_number,12260,0.0000,"{""str"": 12260}",1101-3
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,17,Verifier,Verifier Country,verifier__verifier_country,12260,0.0000,"{""str"": 12260}",Greece
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,18,Monitoring methods,A,monitoring_methods__a,5204,0.5755,"{""str"": 5204}",Yes
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,19,Monitoring methods,B,monitoring_methods__b,3864,0.6848,"{""str"": 3864}",Yes
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,20,Monitoring methods,C,monitoring_methods__c,3868,0.6845,"{""str"": 3868}",Yes
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,21,Monitoring methods,D,monitoring_methods__d,0,1.0000,{},
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,22,Monitoring methods,D,monitoring_methods__d_2,0,1.0000,{},
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,23,Annual monitoring results,Total fuel consumption [m tonnes],annual_monitoring_results__total_fuel_consumption,12260,0.0000,"{""float"": 12260}",6307.75
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,24,Annual monitoring results,Fuel consumptions assigned to On laden [m tonnes],annual_monitoring_results__fuel_consumptions_assigned_to_on_laden,1670,0.8638,"{""float"": 1295, ""str"": 375}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,25,Annual monitoring results,Total CO₂ emissions [m tonnes],annual_monitoring_results__total_co2_emissions,12260,0.0000,"{""float"": 12260}",20080.2509
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,26,Annual monitoring results,CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],annual_monitoring_results__co2_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction,12260,0.0000,"{""float"": 12260}",16035.42
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,27,Annual monitoring results,CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],annual_monitoring_results__co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction,12260,0.0000,"{""float"": 12260}",728.59
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,28,Annual monitoring results,CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],annual_monitoring_results__co2_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction,12260,0.0000,"{""float"": 12260}",974.78
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,29,Annual monitoring results,CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],annual_monitoring_results__co2_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth,12260,0.0000,"{""float"": 12260}",2341.47
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,30,Annual monitoring results,CO₂ emissions assigned to Passenger transport [m tonnes],annual_monitoring_results__co2_emissions_assigned_to_passenger_transport,12253,0.0006,"{""float"": 369, ""str"": 11884}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,31,Annual monitoring results,CO₂ emissions assigned to Freight transport [m tonnes],annual_monitoring_results__co2_emissions_assigned_to_freight_transport,12238,0.0018,"{""float"": 354, ""str"": 11884}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,32,Annual monitoring results,CO₂ emissions assigned to On laden [m tonnes],annual_monitoring_results__co2_emissions_assigned_to_on_laden,1672,0.8636,"{""float"": 1297, ""str"": 375}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,33,Annual monitoring results,Annual Total time spent at sea [hours],annual_monitoring_results__annual_total_time_spent_at_sea,12260,0.0000,"{""float"": 12260}",4170.2
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,34,Annual monitoring results,Annual average Fuel consumption per distance [kg / n mile],annual_monitoring_results__annual_average_fuel_consumption_per_distance,12260,0.0000,"{""float"": 11620, ""str"": 640}",139.07
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,35,Annual monitoring results,Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_mass,11900,0.0294,"{""float"": 10010, ""str"": 1890}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,36,Annual monitoring results,Annual average Fuel consumption per transport work (volume) [g / m³ · n miles],annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_volume,12238,0.0018,"{""float"": 278, ""str"": 11960}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,37,Annual monitoring results,Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles],annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_dwt,11895,0.0298,"{""float"": 1156, ""str"": 10739}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,38,Annual monitoring results,Annual average Fuel consumption per transport work (pax) [g / pax · n miles],annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_pax,12260,0.0000,"{""float"": 524, ""str"": 11736}",311.97
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,39,Annual monitoring results,Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles],annual_monitoring_results__annual_average_fuel_consumption_per_transport_work_freight,12242,0.0015,"{""float"": 351, ""str"": 11891}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,40,Annual monitoring results,Annual average CO₂ emissions per distance [kg CO₂ / n mile],annual_monitoring_results__annual_average_co2_emissions_per_distance,12260,0.0000,"{""float"": 11620, ""str"": 640}",442.71
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,41,Annual monitoring results,Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],annual_monitoring_results__annual_average_co2_emissions_per_transport_work_mass,11900,0.0294,"{""float"": 10010, ""str"": 1890}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,42,Annual monitoring results,Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles],annual_monitoring_results__annual_average_co2_emissions_per_transport_work_volume,12238,0.0018,"{""float"": 278, ""str"": 11960}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,43,Annual monitoring results,Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles],annual_monitoring_results__annual_average_co2_emissions_per_transport_work_dwt,11895,0.0298,"{""float"": 1156, ""str"": 10739}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,44,Annual monitoring results,Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles],annual_monitoring_results__annual_average_co2_emissions_per_transport_work_pax,12260,0.0000,"{""float"": 524, ""str"": 11736}",993.14
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,45,Annual monitoring results,Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles],annual_monitoring_results__annual_average_co2_emissions_per_transport_work_freight,12242,0.0015,"{""float"": 351, ""str"": 11891}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,46,Voluntary reporting,Through ice [n miles],voluntary_reporting__through_ice,10809,0.1184,"{""float"": 574, ""str"": 10235}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,47,Voluntary reporting,Total time spent at sea [hours],voluntary_reporting__total_time_spent_at_sea,12260,0.0000,"{""float"": 12260}",4170.2
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,48,Voluntary reporting,Total time spent at sea through ice [hours],voluntary_reporting__total_time_spent_at_sea_through_ice,10809,0.1184,"{""float"": 574, ""str"": 10235}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,49,Voluntary reporting,Fuel consumption per distance on laden voyages [kg / n mile],voluntary_reporting__fuel_consumption_per_distance_on_laden_voyages,1297,0.8942,"{""float"": 782, ""str"": 515}",462.12
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,50,Voluntary reporting,Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles],voluntary_reporting__fuel_consumption_per_transport_work_mass_on_laden_voyages,2064,0.8316,"{""float"": 1165, ""str"": 899}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,51,Voluntary reporting,Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles],voluntary_reporting__fuel_consumption_per_transport_work_volume_on_laden_voyages,12015,0.0200,"{""float"": 48, ""str"": 11967}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,52,Voluntary reporting,Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles],voluntary_reporting__fuel_consumption_per_transport_work_dwt_on_laden_voyages,10639,0.1322,"{""float"": 121, ""str"": 10518}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,53,Voluntary reporting,Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles],voluntary_reporting__fuel_consumption_per_transport_work_pax_on_laden_voyages,11737,0.0427,"{""float"": 11, ""str"": 11726}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,54,Voluntary reporting,Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles],voluntary_reporting__fuel_consumption_per_transport_work_freight_on_laden_voyages,11885,0.0306,"{""str"": 11885}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,55,Voluntary reporting,CO₂ emissions per distance on laden voyages [kg CO₂ / n mile],voluntary_reporting__co2_emissions_per_distance_on_laden_voyages,1297,0.8942,"{""float"": 782, ""str"": 515}",1327.0
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,56,Voluntary reporting,CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles],voluntary_reporting__co2_emissions_per_transport_work_mass_on_laden_voyages,2064,0.8316,"{""float"": 1165, ""str"": 899}",N/A
2018-v275-29032026-EU_MRV_Publication_of_information.xlsx,2018,2018,annual_er,57,Voluntary reporting,CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles],voluntary_reporting__co2_emissions_per_transport_work_volume_on_laden_voyages,12015,0.0200,"{""float"": 48, ""str"": 11967}",N/A
