train_scope,ship_type,scenario,feature_set,model,split,actual_label,pred_efficient,pred_medium,pred_inefficient
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,914,325,118
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,holdout_2022,medium,295,662,400
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,129,239,989
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,test_2023,efficient,846,317,61
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,test_2023,medium,321,761,141
unified_model,Bulk carrier,unified_model,strict_static,hist_gradient_boosting,test_2023,inefficient,116,574,533
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,574,76,19
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,medium,98,407,163
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,33,129,506
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,efficient,570,63,8
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,medium,133,442,65
unified_model,Oil tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,inefficient,31,318,291
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,465,109,44
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,medium,71,436,111
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,10,112,496
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,test_2023,efficient,438,169,34
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,test_2023,medium,186,189,266
unified_model,Container ship,unified_model,strict_static,hist_gradient_boosting,test_2023,inefficient,12,34,595
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,386,65,28
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,medium,134,233,111
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,36,127,315
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,efficient,395,48,9
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,medium,158,247,46
unified_model,Chemical tanker,unified_model,strict_static,hist_gradient_boosting,test_2023,inefficient,56,241,154
unified_model,General cargo ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,298,84,21
unified_model,General cargo ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,medium,80,195,128
unified_model,General cargo ship,unified_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,35,36,332
unified_model,General cargo ship,unified_model,strict_static,hist_gradient_boosting,test_2023,efficient,303,77,20
